delta,timestamp
29,2022-02-07 22:49:14.594507
15,2022-02-07 22:49:14.609512
31,2022-02-07 22:49:14.641508
32,2022-02-07 22:49:14.673513
32,2022-02-07 22:49:14.706511
37,2022-02-07 22:49:14.744507
33,2022-02-07 22:49:14.777514
34,2022-02-07 22:49:14.812506
40,2022-02-07 22:49:14.852506
27,2022-02-07 22:49:14.880506
33,2022-02-07 22:49:14.913508
34,2022-02-07 22:49:14.948508
34,2022-02-07 22:49:14.982514
34,2022-02-07 22:49:15.017508
34,2022-02-07 22:49:15.051509
35,2022-02-07 22:49:15.086510
37,2022-02-07 22:49:15.125508
34,2022-02-07 22:49:15.158511
32,2022-02-07 22:49:15.191509
35,2022-02-07 22:49:15.226510
40,2022-02-07 22:49:15.267509
27,2022-02-07 22:49:15.295506
33,2022-02-07 22:49:15.328509
34,2022-02-07 22:49:15.363507
35,2022-02-07 22:49:15.399508
35,2022-02-07 22:49:15.433510
36,2022-02-07 22:49:15.470507
33,2022-02-07 22:49:15.503510
30,2022-02-07 22:49:15.535513
32,2022-02-07 22:49:15.568508
34,2022-02-07 22:49:15.602509
42,2022-02-07 22:49:15.644567
35,2022-02-07 22:49:15.679827
40,2022-02-07 22:49:15.720057
36,2022-02-07 22:49:15.757054
26,2022-02-07 22:49:15.783059
20,2022-02-07 22:49:15.804054
15,2022-02-07 22:49:15.819055
24,2022-02-07 22:49:15.843058
14,2022-02-07 22:49:15.858054
25,2022-02-07 22:49:15.883067
29,2022-02-07 22:49:15.913054
37,2022-02-07 22:49:15.950054
37,2022-02-07 22:49:15.988054
34,2022-02-07 22:49:16.022055
46,2022-02-07 22:49:16.068107
26,2022-02-07 22:49:16.095106
19,2022-02-07 22:49:16.115055
23,2022-02-07 22:49:16.138056
20,2022-02-07 22:49:16.158068
37,2022-02-07 22:49:16.195069
35,2022-02-07 22:49:16.231054
32,2022-02-07 22:49:16.263117
35,2022-02-07 22:49:16.299881
32,2022-02-07 22:49:16.331882
36,2022-02-07 22:49:16.367885
30,2022-02-07 22:49:16.397886
35,2022-02-07 22:49:16.432899
33,2022-02-07 22:49:16.466885
33,2022-02-07 22:49:16.499885
34,2022-02-07 22:49:16.534882
39,2022-02-07 22:49:16.573884
34,2022-02-07 22:49:16.608882
34,2022-02-07 22:49:16.643060
32,2022-02-07 22:49:16.675118
34,2022-02-07 22:49:16.710060
32,2022-02-07 22:49:16.742888
35,2022-02-07 22:49:16.778401
34,2022-02-07 22:49:16.812401
38,2022-02-07 22:49:16.850401
29,2022-02-07 22:49:16.879405
34,2022-02-07 22:49:16.914402
30,2022-02-07 22:49:16.945401
35,2022-02-07 22:49:16.980402
44,2022-02-07 22:49:17.026403
26,2022-02-07 22:49:17.052402
32,2022-02-07 22:49:17.084403
35,2022-02-07 22:49:17.120405
21,2022-02-07 22:49:17.141405
18,2022-02-07 22:49:17.160400
26,2022-02-07 22:49:17.186400
42,2022-02-07 22:49:17.229403
31,2022-02-07 22:49:17.260401
31,2022-02-07 22:49:17.292401
32,2022-02-07 22:49:17.324401
22,2022-02-07 22:49:17.346421
