execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature
0,2023-05-24 10:56:25.128356,0,0,0
0,2023-05-24 10:56:25.141413,0,0,0
0,2023-05-24 10:56:25.155238,0,0,0
0,2023-05-24 10:56:25.169918,0,0,0
0,2023-05-24 10:56:25.183682,0,0,0
0,2023-05-24 10:56:25.198659,0,0,0
0,2023-05-24 10:56:25.211668,0,0,0
0,2023-05-24 10:56:25.224982,0,0,0
0,2023-05-24 10:56:25.239057,0,0,0
0,2023-05-24 10:56:25.253909,0,0,0
0,2023-05-24 10:56:25.267723,0,0,0
0,2023-05-24 10:56:25.281504,0,0,0
0,2023-05-24 10:56:25.295953,0,0,0
0,2023-05-24 10:56:25.311217,0,0,0
0,2023-05-24 10:56:25.324075,0,0,0
0,2023-05-24 10:56:25.337529,0,0,0
0,2023-05-24 10:56:25.351512,0,0,0
0,2023-05-24 10:56:25.366706,0,0,0
0,2023-05-24 10:56:25.382457,0,0,0
0,2023-05-24 10:56:25.399171,0,0,0
0,2023-05-24 10:56:25.419484,0,0,0
0,2023-05-24 10:56:25.440534,0,0,0
0,2023-05-24 10:56:25.463713,0,0,0
0,2023-05-24 10:56:25.488788,0,0,0
0,2023-05-24 10:56:25.509576,0,0,0
0,2023-05-24 10:56:25.536117,0,0,0
1,2023-05-24 10:56:25.577659,0,0,0
0,2023-05-24 10:56:25.603143,0,0,0
0,2023-05-24 10:56:25.628017,0,0,0
0,2023-05-24 10:56:25.657315,0,0,0
0,2023-05-24 10:56:25.682226,0,0,0
0,2023-05-24 10:56:25.711700,0,0,0
0,2023-05-24 10:56:25.739786,0,0,0
0,2023-05-24 10:56:25.770766,0,0,0
1,2023-05-24 10:56:25.802682,0,0,0
0,2023-05-24 10:56:25.834274,0,0,0
1,2023-05-24 10:56:25.872917,0,0,0
1,2023-05-24 10:56:25.917644,0,0,0
1,2023-05-24 10:56:25.955729,0,0,0
1,2023-05-24 10:56:25.996545,0,0,0
1,2023-05-24 10:56:26.034988,0,0,0
1,2023-05-24 10:56:26.073491,0,0,0
1,2023-05-24 10:56:26.116495,0,0,0
1,2023-05-24 10:56:26.160430,0,0,0
1,2023-05-24 10:56:26.202939,0,0,0
1,2023-05-24 10:56:26.237383,0,0,0
1,2023-05-24 10:56:26.276234,0,0,0
1,2023-05-24 10:56:26.316407,0,0,0
1,2023-05-24 10:56:26.360544,0,0,0
1,2023-05-24 10:56:26.407126,0,0,0
1,2023-05-24 10:56:26.447431,0,0,0
1,2023-05-24 10:56:26.485047,0,0,0
1,2023-05-24 10:56:26.522177,0,0,0
1,2023-05-24 10:56:26.559107,0,0,0
1,2023-05-24 10:56:26.628759,0,0,0
1,2023-05-24 10:56:26.678669,0,0,0
1,2023-05-24 10:56:26.726792,0,0,0
1,2023-05-24 10:56:26.771366,0,0,0
1,2023-05-24 10:56:26.816071,0,0,0
1,2023-05-24 10:56:26.856828,0,0,0
1,2023-05-24 10:56:26.894445,0,0,0
1,2023-05-24 10:56:26.931823,0,0,0
1,2023-05-24 10:56:26.969339,0,0,0
1,2023-05-24 10:56:27.003728,0,0,0
1,2023-05-24 10:56:27.041620,0,0,0
1,2023-05-24 10:56:27.075760,0,0,0
1,2023-05-24 10:56:27.112801,0,0,0
1,2023-05-24 10:56:27.150025,0,0,0
1,2023-05-24 10:56:27.185866,0,0,0
1,2023-05-24 10:56:27.224498,0,0,0
1,2023-05-24 10:56:27.262176,0,0,0
1,2023-05-24 10:56:27.299700,0,0,0
1,2023-05-24 10:56:27.337499,0,0,0
1,2023-05-24 10:56:27.374956,0,0,0
1,2023-05-24 10:56:27.407076,0,0,0
1,2023-05-24 10:56:27.442374,0,0,0
1,2023-05-24 10:56:27.477394,0,0,0
1,2023-05-24 10:56:27.508785,0,0,0
1,2023-05-24 10:56:27.540425,0,0,0
1,2023-05-24 10:56:27.580527,0,0,0
1,2023-05-24 10:56:27.617339,0,0,0
1,2023-05-24 10:56:27.658050,0,0,0
1,2023-05-24 10:56:27.701437,0,0,0
1,2023-05-24 10:56:27.744585,0,0,0
1,2023-05-24 10:56:27.787489,0,0,0
1,2023-05-24 10:56:27.830135,0,0,0
