execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature
66,2023-05-24 11:03:52.047335,0,0,0
123,2023-05-24 11:03:52.224022,0,0,0
55,2023-05-24 11:03:52.338836,0,0,0
72,2023-05-24 11:03:52.455754,0,0,0
83,2023-05-24 11:03:52.582856,0,0,0
92,2023-05-24 11:03:52.738038,0,0,0
57,2023-05-24 11:03:52.841182,0,0,0
93,2023-05-24 11:03:52.977221,0,0,0
97,2023-05-24 11:03:53.138027,0,0,0
85,2023-05-24 11:03:53.275126,0,0,0
78,2023-05-24 11:03:53.398617,0,0,0
82,2023-05-24 11:03:53.542650,0,0,0
118,2023-05-24 11:03:53.715241,0,0,0
96,2023-05-24 11:03:53.877903,0,0,0
146,2023-05-24 11:03:54.064436,0,0,0
64,2023-05-24 11:03:54.159700,0,0,0
76,2023-05-24 11:03:54.269692,0,0,0
73,2023-05-24 11:03:54.376484,0,0,0
103,2023-05-24 11:03:54.547040,0,0,0
80,2023-05-24 11:03:54.684413,0,0,0
63,2023-05-24 11:03:54.779339,0,0,0
116,2023-05-24 11:03:54.945331,0,0,0
102,2023-05-24 11:03:55.129492,0,0,0
90,2023-05-24 11:03:55.267626,0,0,0
93,2023-05-24 11:03:55.405238,0,0,0
81,2023-05-24 11:03:55.536792,0,0,0
52,2023-05-24 11:03:55.644325,0,0,0
87,2023-05-24 11:03:55.795362,0,0,0
135,2023-05-24 11:03:55.984042,0,0,0
89,2023-05-24 11:03:56.117257,0,0,0
90,2023-05-24 11:03:56.282284,0,0,0
75,2023-05-24 11:03:56.431307,0,0,0
76,2023-05-24 11:03:56.585746,0,0,0
81,2023-05-24 11:03:56.746759,0,0,0
91,2023-05-24 11:03:56.899713,0,0,0
89,2023-05-24 11:03:57.034918,0,0,0
90,2023-05-24 11:03:57.202324,0,0,0
70,2023-05-24 11:03:57.316802,0,0,0
57,2023-05-24 11:03:57.419037,0,0,0
84,2023-05-24 11:03:57.566950,0,0,0
89,2023-05-24 11:03:57.722848,0,0,0
90,2023-05-24 11:03:57.884045,0,0,0
129,2023-05-24 11:03:58.084125,0,0,0
72,2023-05-24 11:03:58.224337,0,0,0
95,2023-05-24 11:03:58.359222,0,0,0
90,2023-05-24 11:03:58.502555,0,0,0
103,2023-05-24 11:03:58.686765,0,0,0
39,2023-05-24 11:03:58.788579,0,0,0
36,2023-05-24 11:03:58.885492,0,0,0
39,2023-05-24 11:03:58.975722,0,0,0
83,2023-05-24 11:03:59.123419,0,0,0
104,2023-05-24 11:03:59.287209,0,0,0
43,2023-05-24 11:03:59.383361,0,0,0
76,2023-05-24 11:03:59.543089,0,0,0
73,2023-05-24 11:03:59.659744,0,0,0
105,2023-05-24 11:03:59.830877,0,0,0
52,2023-05-24 11:03:59.939152,0,0,0
71,2023-05-24 11:04:00.053325,0,0,0
36,2023-05-24 11:04:00.159742,0,0,0
79,2023-05-24 11:04:00.288783,0,0,0
102,2023-05-24 11:04:00.443899,0,0,0
105,2023-05-24 11:04:00.599110,0,0,0
100,2023-05-24 11:04:00.759176,0,0,0
108,2023-05-24 11:04:00.914960,0,0,0
162,2023-05-24 11:04:01.126625,0,0,0
54,2023-05-24 11:04:01.234355,0,0,0
69,2023-05-24 11:04:01.367171,0,0,0
107,2023-05-24 11:04:01.551632,0,0,0
36,2023-05-24 11:04:01.656088,0,0,0
0,2023-05-24 11:04:01.706584,0,0,0
107,2023-05-24 11:04:01.856130,0,0,0
0,2023-05-24 11:04:01.931792,0,0,0
77,2023-05-24 11:04:02.056223,0,0,0
0,2023-05-24 11:04:02.119871,0,0,0
115,2023-05-24 11:04:02.318056,0,0,0
94,2023-05-24 11:04:02.468442,0,0,0
71,2023-05-24 11:04:02.607271,0,0,0
120,2023-05-24 11:04:02.775569,0,0,0
44,2023-05-24 11:04:02.877407,0,0,0
121,2023-05-24 11:04:03.051337,0,0,0
102,2023-05-24 11:04:03.203337,0,0,0
161,2023-05-24 11:04:03.411589,0,0,0
119,2023-05-24 11:04:03.575274,0,0,0
168,2023-05-24 11:04:03.803753,0,0,0
172,2023-05-24 11:04:04.012298,0,0,0
137,2023-05-24 11:04:04.184092,0,0,0
107,2023-05-24 11:04:04.335859,0,0,0
157,2023-05-24 11:04:04.555341,0,0,0
104,2023-05-24 11:04:04.698528,0,0,0
99,2023-05-24 11:04:04.843980,0,0,0
124,2023-05-24 11:04:05.023414,0,0,0
128,2023-05-24 11:04:05.218720,0,0,0
144,2023-05-24 11:04:05.407983,0,0,0
98,2023-05-24 11:04:05.539801,0,0,0
186,2023-05-24 11:04:05.768487,0,0,0
111,2023-05-24 11:04:05.922379,0,0,0
123,2023-05-24 11:04:06.103966,0,0,0
154,2023-05-24 11:04:06.309168,0,0,0
104,2023-05-24 11:04:06.447654,0,0,0
107,2023-05-24 11:04:06.594086,0,0,0
175,2023-05-24 11:04:06.824420,0,0,0
162,2023-05-24 11:04:07.026600,0,0,0
156,2023-05-24 11:04:07.222315,0,0,0
180,2023-05-24 11:04:07.449022,0,0,0
88,2023-05-24 11:04:07.589525,0,0,0
97,2023-05-24 11:04:07.745794,0,0,0
155,2023-05-24 11:04:07.978195,0,0,0
107,2023-05-24 11:04:08.123633,0,0,0
152,2023-05-24 11:04:08.332627,0,0,0
163,2023-05-24 11:04:08.544008,0,0,0
138,2023-05-24 11:04:08.728641,0,0,0
120,2023-05-24 11:04:08.904778,0,0,0
156,2023-05-24 11:04:09.113118,0,0,0
65,2023-05-24 11:04:09.224772,0,0,0
109,2023-05-24 11:04:09.389477,0,0,0
160,2023-05-24 11:04:09.595423,0,0,0
165,2023-05-24 11:04:09.812730,0,0,0
186,2023-05-24 11:04:10.038631,0,0,0
135,2023-05-24 11:04:10.211575,0,0,0
162,2023-05-24 11:04:10.423705,0,0,0
181,2023-05-24 11:04:10.653492,0,0,0
88,2023-05-24 11:04:10.795515,0,0,0
147,2023-05-24 11:04:10.985546,0,0,0
157,2023-05-24 11:04:11.187693,0,0,0
193,2023-05-24 11:04:11.415101,0,0,0
147,2023-05-24 11:04:11.599003,0,0,0
176,2023-05-24 11:04:11.815670,0,0,0
133,2023-05-24 11:04:11.985365,0,0,0
92,2023-05-24 11:04:12.122246,0,0,0
160,2023-05-24 11:04:12.333766,0,0,0
73,2023-05-24 11:04:12.474901,0,0,0
167,2023-05-24 11:04:12.698295,0,0,0
133,2023-05-24 11:04:12.864975,0,0,0
173,2023-05-24 11:04:13.084881,0,0,0
188,2023-05-24 11:04:13.309266,0,0,0
195,2023-05-24 11:04:13.540742,0,0,0
159,2023-05-24 11:04:13.734720,0,0,0
184,2023-05-24 11:04:13.951369,0,0,0
83,2023-05-24 11:04:14.067307,0,0,0
183,2023-05-24 11:04:14.306010,0,0,0
93,2023-05-24 11:04:14.432333,0,0,0
142,2023-05-24 11:04:14.611362,0,0,0
168,2023-05-24 11:04:14.817164,0,0,0
148,2023-05-24 11:04:15.002676,0,0,0
145,2023-05-24 11:04:15.195229,0,0,0
123,2023-05-24 11:04:15.371599,0,0,0
152,2023-05-24 11:04:15.571478,0,0,0
88,2023-05-24 11:04:15.694801,0,0,0
143,2023-05-24 11:04:15.894254,0,0,0
112,2023-05-24 11:04:16.044864,0,0,0
147,2023-05-24 11:04:16.230462,0,0,0
158,2023-05-24 11:04:16.440604,0,0,0
83,2023-05-24 11:04:16.560035,0,0,0
68,2023-05-24 11:04:16.675039,0,0,0
108,2023-05-24 11:04:16.862656,0,0,0
149,2023-05-24 11:04:17.061622,0,0,0
130,2023-05-24 11:04:17.227577,0,0,0
98,2023-05-24 11:04:17.379359,0,0,0
158,2023-05-24 11:04:17.581628,0,0,0
70,2023-05-24 11:04:17.692272,0,0,0
0,2023-05-24 11:04:17.741054,0,0,0
0,2023-05-24 11:04:17.795579,0,0,0
0,2023-05-24 11:04:17.862366,0,0,0
0,2023-05-24 11:04:17.892861,0,0,0
40,2023-05-24 11:04:17.968237,0,0,0
46,2023-05-24 11:04:18.099039,0,0,0
41,2023-05-24 11:04:18.194874,0,0,0
0,2023-05-24 11:04:18.260520,0,0,0
0,2023-05-24 11:04:18.321390,0,0,0
43,2023-05-24 11:04:18.418997,0,0,0
75,2023-05-24 11:04:18.554336,0,0,0
92,2023-05-24 11:04:18.697877,0,0,0
76,2023-05-24 11:04:18.832713,0,0,0
88,2023-05-24 11:04:18.968022,0,0,0
72,2023-05-24 11:04:19.117346,0,0,0
88,2023-05-24 11:04:19.271794,0,0,0
87,2023-05-24 11:04:19.403384,0,0,0
57,2023-05-24 11:04:19.523092,0,0,0
107,2023-05-24 11:04:19.677969,0,0,0
101,2023-05-24 11:04:19.814826,0,0,0
47,2023-05-24 11:04:19.912831,0,0,0
131,2023-05-24 11:04:20.115951,0,0,0
85,2023-05-24 11:04:20.245450,0,0,0
73,2023-05-24 11:04:20.367195,0,0,0
68,2023-05-24 11:04:20.477696,0,0,0
51,2023-05-24 11:04:20.580323,0,0,0
90,2023-05-24 11:04:20.731147,0,0,0
64,2023-05-24 11:04:20.839855,0,0,0
43,2023-05-24 11:04:20.960196,0,0,0
75,2023-05-24 11:04:21.079083,0,0,0
104,2023-05-24 11:04:21.238008,0,0,0
115,2023-05-24 11:04:21.397992,0,0,0
55,2023-05-24 11:04:21.511535,0,0,0
96,2023-05-24 11:04:21.653447,0,0,0
57,2023-05-24 11:04:21.754061,0,0,0
51,2023-05-24 11:04:21.854552,0,0,0
107,2023-05-24 11:04:22.026694,0,0,0
71,2023-05-24 11:04:22.158223,0,0,0
80,2023-05-24 11:04:22.287496,0,0,0
25,2023-05-24 11:04:22.375623,0,0,0
74,2023-05-24 11:04:22.488047,0,0,0
97,2023-05-24 11:04:22.675856,0,0,0
73,2023-05-24 11:04:22.813107,0,0,0
118,2023-05-24 11:04:22.975242,0,0,0
111,2023-05-24 11:04:23.140265,0,0,0
69,2023-05-24 11:04:23.249363,0,0,0
133,2023-05-24 11:04:23.451795,0,0,0
115,2023-05-24 11:04:23.610528,0,0,0
112,2023-05-24 11:04:23.760050,0,0,0
53,2023-05-24 11:04:23.879676,0,0,0
94,2023-05-24 11:04:24.034033,0,0,0
40,2023-05-24 11:04:24.125925,0,0,0
80,2023-05-24 11:04:24.247213,0,0,0
112,2023-05-24 11:04:24.427208,0,0,0
56,2023-05-24 11:04:24.526755,0,0,0
42,2023-05-24 11:04:24.623085,0,0,0
71,2023-05-24 11:04:24.746713,0,0,0
75,2023-05-24 11:04:24.868703,0,0,0
83,2023-05-24 11:04:25.010272,0,0,0
62,2023-05-24 11:04:25.122988,0,0,0
90,2023-05-24 11:04:25.308057,0,0,0
87,2023-05-24 11:04:25.463762,0,0,0
88,2023-05-24 11:04:25.607759,0,0,0
77,2023-05-24 11:04:25.747788,0,0,0
87,2023-05-24 11:04:25.883143,0,0,0
91,2023-05-24 11:04:26.042798,0,0,0
0,2023-05-24 11:04:26.087066,0,0,0
0,2023-05-24 11:04:26.139737,0,0,0
42,2023-05-24 11:04:26.240655,0,0,0
90,2023-05-24 11:04:26.376196,0,0,0
54,2023-05-24 11:04:26.470914,0,0,0
93,2023-05-24 11:04:26.607860,0,0,0
50,2023-05-24 11:04:26.718972,0,0,0
0,2023-05-24 11:04:26.793110,0,0,0
0,2023-05-24 11:04:26.857165,0,0,0
0,2023-05-24 11:04:26.888200,0,0,0
0,2023-05-24 11:04:26.917118,0,0,0
50,2023-05-24 11:04:26.999123,0,0,0
58,2023-05-24 11:04:27.090705,0,0,0
82,2023-05-24 11:04:27.217513,0,0,0
81,2023-05-24 11:04:27.351744,0,0,0
68,2023-05-24 11:04:27.470352,0,0,0
58,2023-05-24 11:04:27.566295,0,0,0
77,2023-05-24 11:04:27.688348,0,0,0
73,2023-05-24 11:04:27.798005,0,0,0
76,2023-05-24 11:04:27.923030,0,0,0
39,2023-05-24 11:04:28.009221,0,0,0
93,2023-05-24 11:04:28.166742,0,0,0
77,2023-05-24 11:04:28.299992,0,0,0
90,2023-05-24 11:04:28.430256,0,0,0
77,2023-05-24 11:04:28.558589,0,0,0
55,2023-05-24 11:04:28.649341,0,0,0
131,2023-05-24 11:04:28.838523,0,0,0
86,2023-05-24 11:04:28.966796,0,0,0
141,2023-05-24 11:04:29.158595,0,0,0
79,2023-05-24 11:04:29.288056,0,0,0
76,2023-05-24 11:04:29.408136,0,0,0
81,2023-05-24 11:04:29.533325,0,0,0
67,2023-05-24 11:04:29.656664,0,0,0
95,2023-05-24 11:04:29.827269,0,0,0
74,2023-05-24 11:04:29.991662,0,0,0
60,2023-05-24 11:04:30.110061,0,0,0
70,2023-05-24 11:04:30.227157,0,0,0
58,2023-05-24 11:04:30.334865,0,0,0
93,2023-05-24 11:04:30.487199,0,0,0
97,2023-05-24 11:04:30.633963,0,0,0
113,2023-05-24 11:04:30.791181,0,0,0
108,2023-05-24 11:04:30.947370,0,0,0
65,2023-05-24 11:04:31.058279,0,0,0
