execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature
95,2023-05-24 11:03:46.088247,95.6,85.6,68.0
126,2023-05-24 11:03:46.219610,98.6,85.6,68.0
137,2023-05-24 11:03:46.383040,97.7,85.6,68.0
152,2023-05-24 11:03:46.540086,98.0,85.6,68.0
133,2023-05-24 11:03:46.679367,98.2,85.6,62.0
133,2023-05-24 11:03:46.818345,96.9,85.6,62.0
119,2023-05-24 11:03:46.944475,99.5,85.6,62.0
132,2023-05-24 11:03:47.085146,97.3,85.6,62.0
184,2023-05-24 11:03:47.274926,97.7,85.6,62.0
76,2023-05-24 11:03:47.364944,95.7,85.6,62.0
128,2023-05-24 11:03:47.506372,97.0,85.6,62.0
156,2023-05-24 11:03:47.668376,98.0,85.6,62.0
92,2023-05-24 11:03:47.768105,98.7,85.6,62.0
239,2023-05-24 11:03:48.030809,99.8,85.6,62.0
160,2023-05-24 11:03:48.217226,98.6,85.6,62.0
275,2023-05-24 11:03:48.499551,99.1,85.6,62.0
171,2023-05-24 11:03:48.684024,96.9,85.6,62.0
132,2023-05-24 11:03:48.821854,98.2,85.6,62.0
115,2023-05-24 11:03:48.942960,99.5,85.6,62.0
133,2023-05-24 11:03:49.083936,100.0,85.6,62.0
140,2023-05-24 11:03:49.230519,98.3,85.6,62.0
85,2023-05-24 11:03:49.320977,97.2,85.6,62.0
180,2023-05-24 11:03:49.510455,99.0,85.6,62.0
182,2023-05-24 11:03:49.705819,99.7,85.6,62.0
117,2023-05-24 11:03:49.829795,97.0,85.6,62.0
126,2023-05-24 11:03:49.962861,99.5,85.6,62.0
160,2023-05-24 11:03:50.130047,97.8,85.6,62.0
187,2023-05-24 11:03:50.322041,97.7,85.6,62.0
138,2023-05-24 11:03:50.467009,94.8,85.6,62.0
121,2023-05-24 11:03:50.594814,98.0,85.6,62.0
176,2023-05-24 11:03:50.776803,97.6,85.6,62.0
136,2023-05-24 11:03:50.918521,97.4,85.6,62.0
151,2023-05-24 11:03:51.075668,98.0,85.6,62.0
105,2023-05-24 11:03:51.187147,97.2,85.6,62.0
154,2023-05-24 11:03:51.347404,98.4,85.6,62.0
158,2023-05-24 11:03:51.512428,97.0,85.6,62.0
138,2023-05-24 11:03:51.666788,96.4,85.6,62.0
159,2023-05-24 11:03:51.830985,97.7,85.6,62.0
36,2023-05-24 11:03:51.876785,98.6,85.6,62.0
53,2023-05-24 11:03:51.936886,99.0,85.6,62.0
107,2023-05-24 11:03:52.050507,94.6,85.6,62.0
166,2023-05-24 11:03:52.227342,97.5,85.6,62.0
108,2023-05-24 11:03:52.342103,96.3,85.6,62.0
108,2023-05-24 11:03:52.459079,97.8,85.6,62.0
119,2023-05-24 11:03:52.586026,98.0,85.6,62.0
148,2023-05-24 11:03:52.742422,98.0,85.6,62.0
94,2023-05-24 11:03:52.844414,98.1,85.6,62.0
130,2023-05-24 11:03:52.980942,97.2,85.5,62.0
154,2023-05-24 11:03:53.143569,97.3,85.5,62.0
129,2023-05-24 11:03:53.278394,99.1,85.6,62.0
118,2023-05-24 11:03:53.401740,98.0,85.6,62.0
132,2023-05-24 11:03:53.545812,98.7,85.6,62.0
153,2023-05-24 11:03:53.718022,98.2,85.6,62.0
159,2023-05-24 11:03:53.882459,95.8,85.6,62.0
180,2023-05-24 11:03:54.068949,97.3,85.6,62.0
89,2023-05-24 11:03:54.164109,96.7,85.6,62.0
103,2023-05-24 11:03:54.273958,97.2,85.6,62.0
101,2023-05-24 11:03:54.381196,97.6,85.6,62.0
160,2023-05-24 11:03:54.551708,97.5,85.6,62.0
121,2023-05-24 11:03:54.688982,97.7,85.6,62.0
88,2023-05-24 11:03:54.783911,98.7,85.6,62.0
160,2023-05-24 11:03:54.949759,97.4,85.5,62.0
178,2023-05-24 11:03:55.133932,98.6,85.6,62.0
132,2023-05-24 11:03:55.272039,98.2,85.6,62.0
132,2023-05-24 11:03:55.410205,99.6,85.6,62.0
125,2023-05-24 11:03:55.541115,98.0,85.6,62.0
102,2023-05-24 11:03:55.649102,97.7,85.6,62.0
140,2023-05-24 11:03:55.799391,96.7,85.6,62.0
184,2023-05-24 11:03:55.993471,98.7,85.6,62.0
122,2023-05-24 11:03:56.122044,97.6,85.6,62.0
152,2023-05-24 11:03:56.287523,98.1,85.6,62.0
141,2023-05-24 11:03:56.435974,98.7,85.6,62.0
149,2023-05-24 11:03:56.594016,99.2,85.6,62.0
141,2023-05-24 11:03:56.750887,97.2,85.6,62.0
147,2023-05-24 11:03:56.903849,98.8,85.6,62.0
129,2023-05-24 11:03:57.039230,99.5,85.6,62.0
159,2023-05-24 11:03:57.205663,97.4,85.6,62.0
109,2023-05-24 11:03:57.319887,99.4,85.6,62.0
97,2023-05-24 11:03:57.421992,97.6,85.6,62.0
142,2023-05-24 11:03:57.569841,99.2,85.6,62.0
151,2023-05-24 11:03:57.729584,97.6,85.6,62.0
150,2023-05-24 11:03:57.888418,96.1,85.6,62.0
180,2023-05-24 11:03:58.087362,97.2,85.5,62.0
122,2023-05-24 11:03:58.227620,94.6,85.5,62.0
129,2023-05-24 11:03:58.362564,97.2,85.5,62.0
137,2023-05-24 11:03:58.510069,98.7,85.5,62.0
165,2023-05-24 11:03:58.690110,96.2,85.6,62.0
96,2023-05-24 11:03:58.791694,96.9,85.6,62.0
91,2023-05-24 11:03:58.888605,96.8,85.6,62.0
85,2023-05-24 11:03:58.978708,98.0,85.6,62.0
142,2023-05-24 11:03:59.127059,97.5,85.6,62.0
157,2023-05-24 11:03:59.290476,97.7,85.6,62.0
89,2023-05-24 11:03:59.386270,98.1,85.6,62.0
152,2023-05-24 11:03:59.546226,97.3,85.6,62.0
111,2023-05-24 11:03:59.663066,99.5,85.6,62.0
165,2023-05-24 11:03:59.835010,97.4,85.6,62.0
91,2023-05-24 11:03:59.942523,96.5,85.5,62.0
108,2023-05-24 11:04:00.064151,99.0,85.6,62.0
85,2023-05-24 11:04:00.162744,98.1,85.6,62.0
123,2023-05-24 11:04:00.291773,98.5,85.6,62.0
146,2023-05-24 11:04:00.446702,98.0,85.6,62.0
149,2023-05-24 11:04:00.602294,98.0,85.6,62.0
154,2023-05-24 11:04:00.762559,96.5,85.6,62.0
150,2023-05-24 11:04:00.918084,98.0,85.6,62.0
206,2023-05-24 11:04:01.129724,95.8,85.6,62.0
102,2023-05-24 11:04:01.237481,88.7,85.6,62.0
124,2023-05-24 11:04:01.377792,100.0,85.6,62.0
171,2023-05-24 11:04:01.564499,99.7,85.6,62.0
81,2023-05-24 11:04:01.659231,93.5,85.6,62.0
31,2023-05-24 11:04:01.709673,100.0,85.6,62.0
145,2023-05-24 11:04:01.874665,97.7,85.5,62.0
54,2023-05-24 11:04:01.934699,98.9,85.5,62.0
119,2023-05-24 11:04:02.059627,97.0,85.6,62.0
43,2023-05-24 11:04:02.122791,100.0,85.6,62.0
179,2023-05-24 11:04:02.321379,98.7,85.6,62.0
144,2023-05-24 11:04:02.471704,97.5,85.6,62.0
120,2023-05-24 11:04:02.610282,98.2,85.6,62.0
163,2023-05-24 11:04:02.785996,97.2,85.6,62.0
80,2023-05-24 11:04:02.880363,95.2,85.6,62.0
164,2023-05-24 11:04:03.054348,98.2,85.6,62.0
146,2023-05-24 11:04:03.206683,96.7,85.6,62.0
202,2023-05-24 11:04:03.414961,95.8,85.6,62.0
155,2023-05-24 11:04:03.581867,95.2,85.6,62.0
204,2023-05-24 11:04:03.806821,95.0,85.6,62.0
204,2023-05-24 11:04:04.016134,93.7,85.5,62.0
165,2023-05-24 11:04:04.187318,96.4,85.5,62.0
133,2023-05-24 11:04:04.338828,95.0,85.5,62.0
214,2023-05-24 11:04:04.558056,95.2,85.5,62.0
138,2023-05-24 11:04:04.702046,95.7,85.5,62.0
140,2023-05-24 11:04:04.847423,96.1,85.5,62.0
173,2023-05-24 11:04:05.026040,97.2,85.5,62.0
190,2023-05-24 11:04:05.221807,95.9,85.5,62.0
183,2023-05-24 11:04:05.411288,96.7,85.5,62.0
126,2023-05-24 11:04:05.543085,95.8,85.5,62.0
223,2023-05-24 11:04:05.772262,94.2,85.5,62.0
147,2023-05-24 11:04:05.925612,95.1,85.5,62.0
176,2023-05-24 11:04:06.107606,97.6,85.5,62.0
187,2023-05-24 11:04:06.311626,95.7,85.5,62.0
134,2023-05-24 11:04:06.450379,95.5,85.5,62.0
141,2023-05-24 11:04:06.597321,97.0,85.5,62.0
224,2023-05-24 11:04:06.827483,94.6,85.5,62.0
196,2023-05-24 11:04:07.030129,94.2,85.5,62.0
191,2023-05-24 11:04:07.226858,94.3,85.5,62.0
220,2023-05-24 11:04:07.453154,93.0,85.5,62.0
134,2023-05-24 11:04:07.593302,97.3,85.6,62.0
150,2023-05-24 11:04:07.750391,97.6,85.6,62.0
214,2023-05-24 11:04:07.982037,96.2,85.6,62.0
141,2023-05-24 11:04:08.127890,94.8,85.6,62.0
203,2023-05-24 11:04:08.338403,96.8,85.6,62.0
197,2023-05-24 11:04:08.548876,94.0,85.6,62.0
177,2023-05-24 11:04:08.734360,93.3,85.6,62.0
156,2023-05-24 11:04:08.908810,94.5,85.5,62.0
203,2023-05-24 11:04:09.117368,94.9,85.5,62.0
105,2023-05-24 11:04:09.228400,93.8,85.5,62.0
159,2023-05-24 11:04:09.393696,97.8,85.5,62.0
201,2023-05-24 11:04:09.600116,96.3,85.5,62.0
212,2023-05-24 11:04:09.817028,95.7,85.5,62.0
220,2023-05-24 11:04:10.042334,93.7,85.5,62.0
167,2023-05-24 11:04:10.215909,94.9,85.5,62.0
206,2023-05-24 11:04:10.427745,95.3,85.5,62.0
224,2023-05-24 11:04:10.657982,93.0,85.5,62.0
136,2023-05-24 11:04:10.800096,96.0,85.5,62.0
183,2023-05-24 11:04:10.988934,97.3,85.5,62.0
197,2023-05-24 11:04:11.191408,94.8,85.5,62.0
222,2023-05-24 11:04:11.419437,94.8,85.5,62.0
178,2023-05-24 11:04:11.602931,94.6,85.5,62.0
208,2023-05-24 11:04:11.819496,92.7,85.5,62.0
164,2023-05-24 11:04:11.988909,94.0,85.5,62.0
131,2023-05-24 11:04:12.126303,97.3,85.5,62.0
206,2023-05-24 11:04:12.337917,95.3,85.5,62.0
133,2023-05-24 11:04:12.478823,92.9,85.5,62.0
207,2023-05-24 11:04:12.701743,95.8,85.5,62.0
161,2023-05-24 11:04:12.868830,94.3,85.5,62.0
214,2023-05-24 11:04:13.088949,94.1,85.5,62.0
218,2023-05-24 11:04:13.313306,93.8,85.5,62.0
225,2023-05-24 11:04:13.544458,92.7,85.5,62.0
188,2023-05-24 11:04:13.738289,94.9,85.5,62.0
212,2023-05-24 11:04:13.955424,93.3,85.5,62.0
110,2023-05-24 11:04:14.071442,95.2,85.5,62.0
232,2023-05-24 11:04:14.309974,94.3,85.5,62.0
121,2023-05-24 11:04:14.436395,94.4,85.5,62.0
173,2023-05-24 11:04:14.614699,96.2,85.5,62.0
200,2023-05-24 11:04:14.820952,94.8,85.5,62.0
180,2023-05-24 11:04:15.012252,95.4,85.5,62.0
174,2023-05-24 11:04:15.199079,93.4,85.5,62.0
156,2023-05-24 11:04:15.375402,95.4,85.5,62.0
194,2023-05-24 11:04:15.574978,97.2,85.5,62.0
118,2023-05-24 11:04:15.699110,95.4,85.5,62.0
181,2023-05-24 11:04:15.897895,97.2,85.5,62.0
144,2023-05-24 11:04:16.048536,96.2,85.5,62.0
173,2023-05-24 11:04:16.233858,97.7,85.5,62.0
205,2023-05-24 11:04:16.444393,94.0,85.5,62.0
113,2023-05-24 11:04:16.563877,94.8,85.6,62.0
109,2023-05-24 11:04:16.680004,97.3,85.6,62.0
176,2023-05-24 11:04:16.866207,96.3,85.6,62.0
193,2023-05-24 11:04:17.064625,97.5,85.5,62.0
161,2023-05-24 11:04:17.231438,94.4,85.5,62.0
145,2023-05-24 11:04:17.382317,95.9,85.5,62.0
194,2023-05-24 11:04:17.584924,95.6,85.5,62.0
105,2023-05-24 11:04:17.695350,94.9,85.5,62.0
43,2023-05-24 11:04:17.744376,100.0,85.5,62.0
49,2023-05-24 11:04:17.798918,96.7,85.5,62.0
59,2023-05-24 11:04:17.865525,90.3,85.5,62.0
25,2023-05-24 11:04:17.895731,86.0,85.5,62.0
70,2023-05-24 11:04:17.971038,90.9,85.5,62.0
126,2023-05-24 11:04:18.101931,99.5,85.5,62.0
86,2023-05-24 11:04:18.198368,96.7,85.5,62.0
60,2023-05-24 11:04:18.263647,99.0,85.5,62.0
51,2023-05-24 11:04:18.335041,100.0,85.5,62.0
75,2023-05-24 11:04:18.422209,90.1,85.5,62.0
127,2023-05-24 11:04:18.557926,99.5,85.5,62.0
135,2023-05-24 11:04:18.700635,96.9,85.5,62.0
127,2023-05-24 11:04:18.836050,97.2,85.5,62.0
124,2023-05-24 11:04:18.971935,98.2,85.5,62.0
142,2023-05-24 11:04:19.120502,96.6,85.5,62.0
149,2023-05-24 11:04:19.275014,98.0,85.5,62.0
126,2023-05-24 11:04:19.407039,97.2,85.5,62.0
111,2023-05-24 11:04:19.526450,97.4,85.5,62.0
149,2023-05-24 11:04:19.680624,97.5,85.5,62.0
129,2023-05-24 11:04:19.818015,98.2,85.5,62.0
92,2023-05-24 11:04:19.915651,98.1,85.5,62.0
197,2023-05-24 11:04:20.118645,96.9,85.5,62.0
122,2023-05-24 11:04:20.248628,96.1,85.5,62.0
103,2023-05-24 11:04:20.371137,98.5,85.5,62.0
104,2023-05-24 11:04:20.481034,97.7,85.5,62.0
97,2023-05-24 11:04:20.584991,100.0,85.5,62.0
140,2023-05-24 11:04:20.734659,97.1,85.5,62.0
103,2023-05-24 11:04:20.843826,98.3,85.5,62.0
114,2023-05-24 11:04:20.962924,99.5,85.5,62.0
111,2023-05-24 11:04:21.084015,99.0,85.5,62.0
150,2023-05-24 11:04:21.241269,96.4,85.5,62.0
154,2023-05-24 11:04:21.401124,97.7,85.5,62.0
108,2023-05-24 11:04:21.514377,97.3,85.5,62.0
134,2023-05-24 11:04:21.656273,96.4,85.5,62.0
95,2023-05-24 11:04:21.758883,98.2,85.5,62.0
92,2023-05-24 11:04:21.857819,97.5,85.5,62.0
166,2023-05-24 11:04:22.030561,97.8,85.5,62.0
123,2023-05-24 11:04:22.161509,96.6,85.5,62.0
123,2023-05-24 11:04:22.292983,97.6,85.5,62.0
72,2023-05-24 11:04:22.378713,97.9,85.5,62.0
107,2023-05-24 11:04:22.503030,97.0,85.5,62.0
163,2023-05-24 11:04:22.678645,97.5,85.5,62.0
132,2023-05-24 11:04:22.816236,98.2,85.5,62.0
156,2023-05-24 11:04:22.978325,98.1,85.5,62.0
157,2023-05-24 11:04:23.143528,96.2,85.5,62.0
103,2023-05-24 11:04:23.252622,98.3,85.5,62.0
196,2023-05-24 11:04:23.455008,97.2,85.5,62.0
150,2023-05-24 11:04:23.613996,95.7,85.5,62.0
144,2023-05-24 11:04:23.763211,96.6,85.5,62.0
114,2023-05-24 11:04:23.882381,96.9,85.5,62.0
149,2023-05-24 11:04:24.037887,98.4,85.5,62.0
85,2023-05-24 11:04:24.128662,97.9,85.5,62.0
116,2023-05-24 11:04:24.249960,97.0,85.5,62.0
174,2023-05-24 11:04:24.430180,98.3,85.5,62.0
94,2023-05-24 11:04:24.539104,98.3,85.5,62.0
80,2023-05-24 11:04:24.626092,97.9,85.5,62.0
112,2023-05-24 11:04:24.749912,99.0,85.5,62.0
114,2023-05-24 11:04:24.872214,97.9,85.5,62.0
136,2023-05-24 11:04:25.016717,98.3,85.5,62.0
103,2023-05-24 11:04:25.127267,96.6,85.5,62.0
168,2023-05-24 11:04:25.311163,96.9,85.5,62.0
150,2023-05-24 11:04:25.466782,97.6,85.5,62.0
138,2023-05-24 11:04:25.610805,98.3,85.5,62.0
134,2023-05-24 11:04:25.751059,99.1,85.5,62.0
128,2023-05-24 11:04:25.888621,97.2,85.5,62.0
151,2023-05-24 11:04:26.046499,97.7,85.5,62.0
32,2023-05-24 11:04:26.093774,100.0,85.5,62.0
43,2023-05-24 11:04:26.143720,98.7,85.5,62.0
82,2023-05-24 11:04:26.244463,94.3,85.5,62.0
125,2023-05-24 11:04:26.379720,98.6,85.5,62.0
89,2023-05-24 11:04:26.474469,98.7,85.5,62.0
133,2023-05-24 11:04:26.613274,98.2,85.5,62.0
104,2023-05-24 11:04:26.729398,99.5,85.5,62.0
50,2023-05-24 11:04:26.796142,99.1,85.5,62.0
59,2023-05-24 11:04:26.860186,100.0,85.5,62.0
25,2023-05-24 11:04:26.891537,86.0,85.5,62.0
23,2023-05-24 11:04:26.920168,84.4,85.5,62.0
76,2023-05-24 11:04:27.002537,92.4,85.5,62.0
86,2023-05-24 11:04:27.093742,97.3,85.5,62.0
118,2023-05-24 11:04:27.220697,97.5,85.5,62.0
128,2023-05-24 11:04:27.355039,98.2,85.5,62.0
102,2023-05-24 11:04:27.473396,97.3,85.5,62.0
90,2023-05-24 11:04:27.569873,98.8,85.5,62.0
115,2023-05-24 11:04:27.691230,99.0,85.5,62.0
104,2023-05-24 11:04:27.800969,97.1,85.5,62.0
117,2023-05-24 11:04:27.926529,97.0,85.5,62.0
80,2023-05-24 11:04:28.012429,97.0,85.5,62.0
151,2023-05-24 11:04:28.169948,97.6,85.5,62.0
127,2023-05-24 11:04:28.304712,98.1,85.5,62.0
123,2023-05-24 11:04:28.433814,97.2,85.5,62.0
119,2023-05-24 11:04:28.561491,97.0,85.5,62.0
85,2023-05-24 11:04:28.654119,96.7,85.5,62.0
174,2023-05-24 11:04:28.841027,95.9,85.5,62.0
123,2023-05-24 11:04:28.970091,95.3,85.5,62.0
179,2023-05-24 11:04:29.161773,96.4,85.5,62.0
123,2023-05-24 11:04:29.291290,93.7,85.5,62.0
114,2023-05-24 11:04:29.410989,98.4,85.5,62.0
120,2023-05-24 11:04:29.538095,97.1,85.5,62.0
117,2023-05-24 11:04:29.661772,98.0,85.5,62.0
162,2023-05-24 11:04:29.831797,97.0,85.5,62.0
159,2023-05-24 11:04:29.996844,97.7,85.5,62.0
109,2023-05-24 11:04:30.113437,97.3,85.5,62.0
111,2023-05-24 11:04:30.230364,97.9,85.5,62.0
