timestamp,pixel,fps,pv,ra,stream,device,GPU
2023-10-09 17:18:05.484871,180,22,0.87,0.95,1,Orin,1
2023-10-09 17:18:05.997600,180,22,1.0,0.59,1,Orin,1
2023-10-09 17:18:07.020080,180,22,0.91,0.86,1,Orin,1
2023-10-09 17:18:08.570955,240,22,1.0,0.91,1,Orin,1
2023-10-09 17:18:09.480185,240,22,1.0,0.91,1,Orin,1
2023-10-09 17:18:11.012987,420,14,1.0,1.0,1,Orin,1
2023-10-09 17:18:12.242402,420,14,1.0,0.93,1,Orin,1
2023-10-09 17:18:14.366881,420,30,1.0,1.0,1,Orin,1
2023-10-09 17:18:15.519375,420,30,1.0,0.87,1,Orin,1
2023-10-09 17:18:16.850687,420,22,1.0,0.95,1,Orin,1
2023-10-09 17:18:18.387053,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:18:19.922069,240,26,1.0,0.92,1,Orin,1
2023-10-09 17:18:21.253092,240,26,1.0,0.85,1,Orin,1
2023-10-09 17:18:23.019341,420,26,1.0,0.92,1,Orin,1
2023-10-09 17:18:24.224082,300,26,1.0,0.92,1,Orin,1
2023-10-09 17:18:25.451616,300,26,1.0,0.92,1,Orin,1
2023-10-09 17:18:26.990470,360,26,1.0,1.0,1,Orin,1
2023-10-09 17:18:28.525809,360,26,1.0,0.92,1,Orin,1
2023-10-09 17:18:29.948016,300,22,0.95,0.86,1,Orin,1
2023-10-09 17:18:30.782031,300,22,1.0,0.91,1,Orin,1
2023-10-09 17:18:32.634453,360,22,1.0,0.86,1,Orin,1
2023-10-09 17:18:33.543501,360,22,0.95,0.91,1,Orin,1
2023-10-09 17:18:34.781660,360,14,1.0,0.93,1,Orin,1
2023-10-09 17:18:35.899569,360,14,1.0,1.0,1,Orin,1
2023-10-09 17:18:37.465807,420,22,1.0,0.95,1,Orin,1
2023-10-09 17:18:38.970486,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:18:40.521009,420,22,1.0,0.86,1,Orin,1
2023-10-09 17:18:41.737852,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:18:43.270065,420,22,1.0,0.95,1,Orin,1
2023-10-09 17:18:44.395820,420,22,0.95,0.91,1,Orin,1
2023-10-09 17:18:46.143395,420,22,1.0,0.95,1,Orin,1
2023-10-09 17:18:47.570906,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:18:53.098273,420,22,1.0,0.86,1,Orin,1
2023-10-09 17:18:53.628112,420,22,1.0,1.0,1,Orin,1
2023-10-09 17:18:55.198461,420,22,0.95,0.91,1,Orin,1
2023-10-09 17:18:56.694465,420,22,0.95,0.86,1,Orin,1
2023-10-09 17:18:58.337785,420,22,1.0,0.82,1,Orin,1
2023-10-09 17:18:59.553773,420,22,1.0,0.86,1,Orin,1
2023-10-09 17:19:01.095030,420,22,1.0,0.95,1,Orin,1
2023-10-09 17:19:02.315192,420,22,0.95,0.95,1,Orin,1
2023-10-09 17:19:03.869569,420,22,1.0,0.95,1,Orin,1
2023-10-09 17:19:05.083645,420,22,1.0,0.95,1,Orin,1
2023-10-09 17:19:06.617844,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:19:07.949725,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:19:09.399318,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:19:10.917390,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:19:12.453387,420,22,1.0,0.91,1,Orin,1
2023-10-09 17:19:13.989747,420,22,0.95,0.86,1,Orin,1
2023-10-09 17:19:15.205713,420,22,1.0,0.86,1,Orin,1
2023-10-09 17:19:16.754303,420,22,1.0,0.82,1,Orin,1
