timestamp,pixel,fps,pv,ra,stream,device,GPU
2023-10-11 09:29:00.355098,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:01.787411,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:03.426565,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:05.065609,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:29:06.908534,420,14,0.93,0.86,2,Nano,0
2023-10-11 09:29:08.444361,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:10.285690,420,14,0.93,0.93,2,Nano,0
2023-10-11 09:29:11.824103,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:13.360312,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:29:15.203508,420,14,0.86,0.79,2,Nano,0
2023-10-11 09:29:17.046147,420,14,1.0,0.79,2,Nano,0
2023-10-11 09:29:18.580861,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:20.120231,420,14,1.0,0.86,2,Nano,0
2023-10-11 09:29:21.756228,420,14,1.0,0.93,2,Nano,0
2023-10-11 09:29:23.802862,420,14,0.93,0.86,3,Nano,0
2023-10-11 09:29:25.645170,420,14,1.0,0.07,3,Nano,0
2023-10-11 09:29:43.156407,120,30,0.09,0.0,3,Nano,0
2023-10-11 09:29:44.228395,120,30,0.03,0.0,3,Nano,0
2023-10-11 09:29:46.843790,120,30,0.18,0.0,3,Nano,0
2023-10-11 09:29:49.641642,120,22,0.0,0.0,3,Nano,0
2023-10-11 09:29:52.066548,120,22,0.0,0.0,3,Nano,0
2023-10-11 09:29:53.917299,360,14,1.0,0.0,3,Nano,0
2023-10-11 09:29:56.248491,360,14,1.0,0.21,3,Nano,0
2023-10-11 09:29:58.220191,180,14,1.0,0.21,3,Nano,0
2023-10-11 09:30:00.361048,180,14,1.0,0.36,3,Nano,0
2023-10-11 09:30:03.227205,240,22,1.0,0.0,3,Nano,0
2023-10-11 09:30:05.992639,240,22,1.0,0.0,3,Nano,0
2023-10-11 09:30:07.528907,300,14,0.93,0.14,3,Nano,0
2023-10-11 09:30:09.252614,300,14,1.0,0.14,3,Nano,0
2023-10-11 09:30:12.248869,300,18,1.0,0.0,3,Nano,0
2023-10-11 09:30:14.408229,300,18,1.0,0.0,3,Nano,0
2023-10-11 09:30:15.848107,300,14,1.0,0.29,3,Nano,0
2023-10-11 09:30:17.830633,300,14,1.0,0.29,3,Nano,0
2023-10-11 09:30:19.712220,300,14,0.93,0.21,3,Nano,0
2023-10-11 09:30:21.521869,300,14,1.0,0.07,3,Nano,0
2023-10-11 09:30:23.487408,300,14,1.0,0.29,3,Nano,0
2023-10-11 09:30:25.756677,300,14,1.0,0.43,3,Nano,0
2023-10-11 09:30:27.536721,300,14,0.73,0.29,3,Nano,0
2023-10-11 09:30:29.750033,300,14,0.73,0.36,3,Nano,0
2023-10-11 09:30:31.797459,300,14,1.0,0.36,3,Nano,0
2023-10-11 09:30:33.640377,300,14,1.0,0.29,3,Nano,0
2023-10-11 09:30:35.109499,300,14,0.93,0.21,3,Nano,0
2023-10-11 09:30:37.124080,300,14,1.0,0.14,3,Nano,0
2023-10-11 09:30:38.849697,300,14,1.0,0.07,3,Nano,0
2023-10-11 09:30:41.220251,300,14,0.93,0.21,3,Nano,0
2023-10-11 09:30:43.147249,300,14,0.73,0.36,3,Nano,0
2023-10-11 09:30:45.009059,300,14,1.0,0.21,3,Nano,0
2023-10-11 09:30:47.156091,300,14,1.0,0.36,3,Nano,0
2023-10-11 09:30:49.104532,300,14,0.93,0.14,3,Nano,0
2023-10-11 09:30:51.255512,300,14,0.73,0.36,3,Nano,0
2023-10-11 09:30:53.304246,300,14,0.73,0.36,3,Nano,0
2023-10-11 09:30:54.939168,300,14,1.0,0.21,3,Nano,0
2023-10-11 09:30:57.094129,300,14,1.0,0.36,3,Nano,0
2023-10-11 09:30:58.729509,300,14,1.0,0.36,3,Nano,0
2023-10-11 09:31:00.675606,300,14,1.0,0.29,3,Nano,0
2023-10-11 09:31:02.518496,300,14,1.0,0.36,3,Nano,0
2023-10-11 09:31:04.653820,300,14,0.93,0.36,3,Nano,0
2023-10-11 09:31:06.927194,300,14,1.0,0.43,3,Nano,0
2023-10-11 09:31:08.566128,300,14,1.0,0.14,3,Nano,0
2023-10-11 09:31:10.916714,300,14,0.93,0.43,3,Nano,0
2023-10-11 09:31:12.507798,300,14,1.0,0.14,3,Nano,0
2023-10-11 09:31:14.602686,300,14,1.0,0.21,3,Nano,0
2023-10-11 09:31:16.398416,300,14,1.0,0.14,3,Nano,0
2023-10-11 09:31:18.201672,300,14,1.0,0.14,3,Nano,0
2023-10-11 09:31:20.645775,300,14,0.93,0.14,4,Nano,0
2023-10-11 09:31:22.998637,300,14,1.0,0.0,4,Nano,0
2023-10-11 09:31:28.527947,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:31:33.646594,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:31:38.342091,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:31:42.977111,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:31:47.415359,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:31:52.165772,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:31:56.689318,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:01.295803,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:05.618616,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:10.370161,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:14.966878,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:19.727483,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:24.121444,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:28.337199,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:33.095388,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:37.436359,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:42.153581,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:46.370766,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:50.944087,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:32:55.816482,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:00.312434,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:05.243113,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:09.477720,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:13.952041,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:18.553635,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:23.386049,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:27.813870,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:32.447516,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:37.034782,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:42.162375,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:46.368336,420,30,1.0,0.0,4,Nano,0
