timestamp,pixel,fps,pv,ra,stream,device,GPU
2023-10-08 11:24:15.073563,180,22,0.58,1.0,1,Laptop,0
2023-10-08 11:24:16.278761,180,22,0.2,1.0,1,Laptop,0
2023-10-08 11:24:17.519307,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:18.546225,420,30,1.0,0.93,1,Laptop,0
2023-10-08 11:24:19.641819,420,14,0.86,1.0,1,Laptop,0
2023-10-08 11:24:20.800452,420,14,0.43,1.0,1,Laptop,0
2023-10-08 11:24:21.898583,240,22,0.86,1.0,1,Laptop,0
2023-10-08 11:24:22.893802,240,22,0.64,0.86,1,Laptop,0
2023-10-08 11:24:24.117177,300,26,1.0,0.96,1,Laptop,0
2023-10-08 11:24:25.356812,300,26,0.92,0.96,1,Laptop,0
2023-10-08 11:24:26.585748,420,26,0.92,0.92,1,Laptop,0
2023-10-08 11:24:27.831204,420,26,0.71,0.96,1,Laptop,0
2023-10-08 11:24:28.849300,360,26,1.0,0.88,1,Laptop,0
2023-10-08 11:24:30.070916,360,26,1.0,0.96,1,Laptop,0
2023-10-08 11:24:31.381955,240,26,0.71,0.96,1,Laptop,0
2023-10-08 11:24:32.478686,240,26,0.69,0.88,1,Laptop,0
2023-10-08 11:24:33.802635,420,30,1.0,0.93,1,Laptop,0
2023-10-08 11:24:35.106330,420,30,1.0,0.93,1,Laptop,0
2023-10-08 11:24:36.370313,420,30,1.0,0.93,1,Laptop,0
2023-10-08 11:24:37.592665,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:38.776043,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:40.114655,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:41.517140,420,30,1.0,0.9,1,Laptop,0
2023-10-08 11:24:42.865520,420,30,1.0,0.9,1,Laptop,0
2023-10-08 11:24:44.190700,420,30,1.0,0.93,1,Laptop,0
2023-10-08 11:24:45.477554,420,30,1.0,0.9,1,Laptop,0
2023-10-08 11:24:46.478853,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:47.791961,420,30,0.83,0.97,1,Laptop,0
2023-10-08 11:24:49.033450,420,30,1.0,1.0,1,Laptop,0
2023-10-08 11:24:50.344624,420,30,0.77,0.97,1,Laptop,0
2023-10-08 11:24:51.613597,420,30,1.0,0.9,1,Laptop,0
2023-10-08 11:24:52.948078,420,30,1.0,0.9,1,Laptop,0
2023-10-08 11:24:54.162653,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:55.354204,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:56.541378,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:57.874317,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:24:59.170393,420,30,1.0,0.93,1,Laptop,0
2023-10-08 11:25:00.487865,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:01.790975,420,30,1.0,0.9,1,Laptop,0
2023-10-08 11:25:03.102354,420,30,1.0,0.93,1,Laptop,0
2023-10-08 11:25:04.503982,420,30,1.0,0.93,1,Laptop,0
2023-10-08 11:25:05.731209,420,30,1.0,0.87,1,Laptop,0
2023-10-08 11:25:07.040802,420,30,1.0,0.9,1,Laptop,0
2023-10-08 11:25:08.064009,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:09.284274,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:10.461086,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:11.689222,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:12.899162,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:14.101736,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:15.310856,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:16.507720,420,30,1.0,0.97,1,Laptop,0
2023-10-08 11:25:17.986380,420,30,0.77,0.97,1,Laptop,0
2023-10-08 11:25:19.273542,420,30,1.0,0.93,1,Laptop,0
