timestamp,pixel,fps,pv,ra,stream,device
2023-10-08 09:17:38.548968,180,22,0.91,1.0,1,Laptop
2023-10-08 09:17:39.792932,180,22,1.0,0.95,1,Laptop
2023-10-08 09:17:40.690739,240,22,0.95,0.95,1,Laptop
2023-10-08 09:17:41.769570,420,14,1.0,1.0,1,Laptop
2023-10-08 09:17:42.895704,420,14,0.86,1.0,1,Laptop
2023-10-08 09:17:44.086840,420,30,1.0,1.0,1,Laptop
2023-10-08 09:17:45.071303,420,30,1.0,0.93,1,Laptop
2023-10-08 09:17:46.198555,300,18,0.89,1.0,1,Laptop
2023-10-08 09:17:47.063431,300,18,1.0,1.0,1,Laptop
2023-10-08 09:17:48.131022,360,18,1.0,1.0,1,Laptop
2023-10-08 09:17:49.210828,360,18,0.94,1.0,1,Laptop
2023-10-08 09:17:50.267965,300,18,1.0,1.0,1,Laptop
2023-10-08 09:17:51.413416,300,18,0.89,1.0,1,Laptop
2023-10-08 09:17:52.567220,300,18,0.89,1.0,1,Laptop
2023-10-08 09:17:53.463493,300,18,0.94,1.0,1,Laptop
2023-10-08 09:17:54.522000,300,18,1.0,1.0,1,Laptop
2023-10-08 09:17:55.606078,300,18,1.0,1.0,1,Laptop
2023-10-08 09:17:56.472768,300,18,1.0,1.0,1,Laptop
2023-10-08 09:17:57.539876,300,18,1.0,1.0,1,Laptop
2023-10-08 09:17:58.677285,300,18,1.0,1.0,1,Laptop
2023-10-08 09:17:59.829538,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:00.685974,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:01.774323,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:02.915413,300,18,0.89,1.0,1,Laptop
2023-10-08 09:18:04.046200,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:05.168287,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:06.081716,300,18,0.89,1.0,1,Laptop
2023-10-08 09:18:07.215236,300,18,0.94,0.94,1,Laptop
2023-10-08 09:18:08.318675,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:09.258817,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:10.386921,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:11.260853,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:12.380028,300,18,0.89,1.0,1,Laptop
2023-10-08 09:18:13.478795,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:14.575467,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:15.688713,300,18,1.0,1.0,1,Laptop
2023-10-08 09:18:16.864575,300,18,1.0,0.94,1,Laptop
