execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance
69,2023-09-07 16:04:27.738657,40.3,73.9,409920,12,True,37.0
62,2023-09-07 16:04:27.821879,40.6,73.9,409920,12,True,33.0
58,2023-09-07 16:04:27.906346,39.1,73.9,409920,12,True,32.0
69,2023-09-07 16:04:27.990547,43.0,73.9,409920,12,True,30.0
66,2023-09-07 16:04:28.074829,42.1,73.9,409920,12,True,47.0
61,2023-09-07 16:04:28.159573,40.0,73.9,409920,12,True,27.0
62,2023-09-07 16:04:28.243414,40.3,73.9,409920,12,True,52.0
67,2023-09-07 16:04:28.327296,42.3,73.9,409920,12,True,33.0
69,2023-09-07 16:04:28.410951,42.9,73.9,409920,12,True,35.0
62,2023-09-07 16:04:28.495205,40.4,73.9,409920,12,True,24.0
69,2023-09-07 16:04:28.580537,40.4,73.9,409920,12,True,46.0
62,2023-09-07 16:04:28.664273,40.3,73.8,409920,12,True,24.0
63,2023-09-07 16:04:28.747835,41.0,73.8,409920,12,True,35.0
62,2023-09-07 16:04:28.831410,40.3,73.8,409920,12,True,20.0
61,2023-09-07 16:04:28.916269,40.0,73.8,409920,12,True,29.0
60,2023-09-07 16:04:28.999804,39.8,73.8,409920,12,True,14.0
70,2023-09-07 16:04:29.083982,40.7,73.8,409920,12,True,21.0
62,2023-09-07 16:04:29.167663,40.6,73.8,409920,12,True,4.0
63,2023-09-07 16:04:29.251492,40.7,73.8,409920,12,True,5.0
63,2023-09-07 16:04:29.335362,40.7,73.8,409920,12,True,3.0
69,2023-09-07 16:04:29.419446,42.9,73.8,409920,12,True,5.0
69,2023-09-07 16:04:29.503301,42.9,73.8,409920,12,True,2.0
72,2023-09-07 16:04:29.587306,44.0,73.8,409920,12,True,7.0
69,2023-09-07 16:04:29.671179,42.9,73.8,409920,12,True,11.0
63,2023-09-07 16:04:29.755097,40.7,73.8,409920,12,True,17.0
62,2023-09-07 16:04:29.838984,40.3,73.8,409920,12,True,19.0
56,2023-09-07 16:04:29.922353,38.0,73.8,409920,12,True,26.0
73,2023-09-07 16:04:30.007402,44.5,73.8,409920,12,True,20.0
69,2023-09-07 16:04:30.091156,42.9,73.8,409920,12,True,22.0
58,2023-09-07 16:04:30.174758,38.8,73.8,409920,12,True,31.0
67,2023-09-07 16:04:30.260291,39.7,73.8,409920,12,True,20.0
72,2023-09-07 16:04:30.344330,41.4,73.8,409920,12,True,32.0
70,2023-09-07 16:04:30.428449,40.6,73.8,409920,12,True,24.0
62,2023-09-07 16:04:30.512373,40.3,73.8,409920,12,True,36.0
65,2023-09-07 16:04:30.595776,41.5,73.8,409920,12,True,20.0
62,2023-09-07 16:04:30.680614,40.4,73.8,409920,12,True,29.0
61,2023-09-07 16:04:30.764075,40.2,73.8,409920,12,True,20.0
60,2023-09-07 16:04:30.849035,39.7,73.8,409920,12,True,32.0
62,2023-09-07 16:04:30.932618,40.6,73.8,409920,12,True,22.0
56,2023-09-07 16:04:31.017138,37.9,73.8,409920,12,True,33.0
57,2023-09-07 16:04:31.101590,38.6,73.8,409920,12,True,22.0
58,2023-09-07 16:04:31.186031,39.1,73.8,409920,12,True,31.0
58,2023-09-07 16:04:31.270281,39.1,73.8,409920,12,True,22.0
66,2023-09-07 16:04:31.354500,42.1,73.8,409920,12,True,26.0
75,2023-09-07 16:04:31.438770,44.9,73.8,409920,12,True,12.0
66,2023-09-07 16:04:31.524030,39.3,73.8,409920,12,True,16.0
62,2023-09-07 16:04:31.607738,40.6,73.8,409920,12,True,6.0
62,2023-09-07 16:04:31.691885,40.3,73.8,409920,12,True,32.0
334,2023-09-07 16:04:31.721880,82.6,73.7,409920,12,True,56.0
54,2023-09-07 16:04:31.804238,40.2,73.7,409920,12,True,10.0
48,2023-09-07 16:04:31.888586,37.4,73.7,409920,12,True,12.0
54,2023-09-07 16:04:31.973066,40.3,73.7,409920,12,True,21.0
49,2023-09-07 16:04:32.057507,38.3,73.7,409920,12,True,31.0
56,2023-09-07 16:04:32.141821,41.4,73.7,409920,12,True,25.0
63,2023-09-07 16:04:32.227817,40.7,73.7,409920,12,True,35.0
69,2023-09-07 16:04:32.312015,40.3,73.7,409920,12,True,27.0
62,2023-09-07 16:04:32.395817,40.3,73.7,409920,12,True,35.0
60,2023-09-07 16:04:32.479672,39.8,73.7,409920,12,True,14.0
65,2023-09-07 16:04:32.563307,41.5,73.7,409920,12,True,16.0
70,2023-09-07 16:04:32.647275,43.3,73.7,409920,12,True,22.0
70,2023-09-07 16:04:32.731160,43.3,73.7,409920,12,True,32.0
65,2023-09-07 16:04:32.814968,41.7,73.7,409920,12,True,11.0
62,2023-09-07 16:04:32.898926,40.6,73.7,409920,12,True,8.0
56,2023-09-07 16:04:32.982445,38.0,73.7,409920,12,True,9.0
59,2023-09-07 16:04:33.066482,42.6,73.7,409920,12,True,14.0
73,2023-09-07 16:04:33.150909,44.5,73.7,409920,12,True,12.0
67,2023-09-07 16:04:33.236264,39.7,73.7,409920,12,True,19.0
61,2023-09-07 16:04:33.320018,40.2,73.7,409920,12,True,14.0
62,2023-09-07 16:04:33.403668,40.3,73.7,409920,12,True,20.0
63,2023-09-07 16:04:33.487309,41.0,73.7,409920,12,True,14.0
78,2023-09-07 16:04:33.571507,43.3,73.7,409920,12,True,23.0
65,2023-09-07 16:04:33.655537,41.6,73.7,409920,12,True,16.0
65,2023-09-07 16:04:33.739388,41.6,73.7,409920,12,True,26.0
70,2023-09-07 16:04:33.823180,43.3,73.7,409920,12,True,16.0
58,2023-09-07 16:04:33.906643,38.8,73.7,409920,12,True,22.0
70,2023-09-07 16:04:33.991045,43.3,73.7,409920,12,True,14.0
61,2023-09-07 16:04:34.075618,40.0,73.7,409920,12,True,19.0
65,2023-09-07 16:04:34.159181,41.5,73.7,409920,12,True,15.0
71,2023-09-07 16:04:34.242866,43.6,73.7,409920,12,True,18.0
57,2023-09-07 16:04:34.326451,38.5,73.7,409920,12,True,12.0
64,2023-09-07 16:04:34.410622,41.3,73.7,409920,12,True,8.0
66,2023-09-07 16:04:34.494855,42.1,73.7,409920,12,True,9.0
60,2023-09-07 16:04:34.579959,39.6,73.7,409920,12,True,42.0
69,2023-09-07 16:04:34.664233,40.3,73.7,409920,12,True,47.0
62,2023-09-07 16:04:34.747785,40.6,73.7,409920,12,True,90.0
62,2023-09-07 16:04:34.831693,40.4,73.7,409920,12,True,60.0
62,2023-09-07 16:04:34.915329,40.6,73.7,409920,12,True,72.0
70,2023-09-07 16:04:34.999389,43.3,73.7,409920,12,True,48.0
69,2023-09-07 16:04:35.083362,42.9,73.7,409920,12,True,81.0
62,2023-09-07 16:04:35.167486,40.4,73.7,409920,12,True,29.0
63,2023-09-07 16:04:35.251245,41.0,73.7,409920,12,True,13.0
71,2023-09-07 16:04:35.335238,43.7,73.7,409920,12,True,17.0
56,2023-09-07 16:04:35.418381,38.0,73.7,409920,12,True,20.0
75,2023-09-07 16:04:35.502903,45.2,73.7,409920,12,True,15.0
67,2023-09-07 16:04:35.588520,39.7,73.7,409920,12,True,30.0
66,2023-09-07 16:04:35.671355,42.1,73.7,409920,12,True,15.0
69,2023-09-07 16:04:35.755242,42.9,73.7,409920,12,True,15.0
71,2023-09-07 16:04:35.839182,43.7,73.7,409920,12,True,16.0
69,2023-09-07 16:04:35.922955,42.9,73.7,409920,12,True,25.0
62,2023-09-07 16:04:36.007049,40.3,73.7,409920,12,True,19.0
62,2023-09-07 16:04:36.090869,40.3,73.7,409920,12,True,31.0
