execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature,pixel
17,2023-05-24 14:29:59.456444,0,0,0,0
19,2023-05-24 14:29:59.527147,0,0,0,0
19,2023-05-24 14:29:59.595993,0,0,0,0
18,2023-05-24 14:29:59.663830,0,0,0,0
22,2023-05-24 14:29:59.737005,0,0,0,0
16,2023-05-24 14:29:59.800343,0,0,0,0
20,2023-05-24 14:29:59.873050,0,0,0,0
25,2023-05-24 14:29:59.946727,0,0,0,0
18,2023-05-24 14:30:00.009029,0,0,0,0
19,2023-05-24 14:30:00.078819,0,0,0,0
18,2023-05-24 14:30:00.147005,0,0,0,0
19,2023-05-24 14:30:00.216928,0,0,0,0
19,2023-05-24 14:30:00.286144,0,0,0,0
18,2023-05-24 14:30:00.353557,0,0,0,0
20,2023-05-24 14:30:00.424848,0,0,0,0
22,2023-05-24 14:30:00.496075,0,0,0,0
19,2023-05-24 14:30:00.562018,0,0,0,0
23,2023-05-24 14:30:00.634605,0,0,0,0
19,2023-05-24 14:30:00.699193,0,0,0,0
19,2023-05-24 14:30:00.768161,0,0,0,0
26,2023-05-24 14:30:00.843671,0,0,0,0
17,2023-05-24 14:30:00.904096,0,0,0,0
21,2023-05-24 14:30:00.976914,0,0,0,0
24,2023-05-24 14:30:01.048588,0,0,0,0
17,2023-05-24 14:30:01.109641,0,0,0,0
16,2023-05-24 14:30:01.177233,0,0,0,0
23,2023-05-24 14:30:01.252154,0,0,0,0
18,2023-05-24 14:30:01.316183,0,0,0,0
18,2023-05-24 14:30:01.385143,0,0,0,0
21,2023-05-24 14:30:01.457096,0,0,0,0
18,2023-05-24 14:30:01.522600,0,0,0,0
20,2023-05-24 14:30:01.593700,0,0,0,0
19,2023-05-24 14:30:01.661606,0,0,0,0
18,2023-05-24 14:30:01.729143,0,0,0,0
17,2023-05-24 14:30:01.797307,0,0,0,0
20,2023-05-24 14:30:01.869683,0,0,0,0
17,2023-05-24 14:30:01.936082,0,0,0,0
19,2023-05-24 14:30:02.006859,0,0,0,0
19,2023-05-24 14:30:02.075963,0,0,0,0
30,2023-05-24 14:30:02.155683,0,0,0,0
20,2023-05-24 14:30:02.215015,0,0,0,0
21,2023-05-24 14:30:02.285443,0,0,0,0
26,2023-05-24 14:30:02.359824,0,0,0,0
17,2023-05-24 14:30:02.420383,0,0,0,0
19,2023-05-24 14:30:02.491612,0,0,0,0
21,2023-05-24 14:30:02.562642,0,0,0,0
19,2023-05-24 14:30:02.629669,0,0,0,0
19,2023-05-24 14:30:02.699247,0,0,0,0
20,2023-05-24 14:30:02.768851,0,0,0,0
19,2023-05-24 14:30:02.836861,0,0,0,0
22,2023-05-24 14:30:02.908865,0,0,0,0
20,2023-05-24 14:30:02.976089,0,0,0,0
21,2023-05-24 14:30:03.045625,0,0,0,0
24,2023-05-24 14:30:03.117247,0,0,0,0
17,2023-05-24 14:30:03.179157,0,0,0,0
21,2023-05-24 14:30:03.251916,0,0,0,0
20,2023-05-24 14:30:03.320147,0,0,0,0
22,2023-05-24 14:30:03.391174,0,0,0,0
29,2023-05-24 14:30:03.467005,0,0,0,0
