execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature,pixel
0,2023-05-24 14:29:52.195551,0,0,0,0
0,2023-05-24 14:29:52.263653,0,0,0,0
0,2023-05-24 14:29:52.332372,0,0,0,0
0,2023-05-24 14:29:52.400976,0,0,0,0
0,2023-05-24 14:29:52.469555,0,0,0,0
0,2023-05-24 14:29:52.537967,0,0,0,0
0,2023-05-24 14:29:52.606785,0,0,0,0
0,2023-05-24 14:29:52.674604,0,0,0,0
0,2023-05-24 14:29:52.743038,0,0,0,0
0,2023-05-24 14:29:52.811559,0,0,0,0
0,2023-05-24 14:29:52.880078,0,0,0,0
0,2023-05-24 14:29:52.948800,0,0,0,0
0,2023-05-24 14:29:53.016763,0,0,0,0
0,2023-05-24 14:29:53.084991,0,0,0,0
0,2023-05-24 14:29:53.153147,0,0,0,0
0,2023-05-24 14:29:53.222131,0,0,0,0
0,2023-05-24 14:29:53.290435,0,0,0,0
0,2023-05-24 14:29:53.359000,0,0,0,0
0,2023-05-24 14:29:53.427559,0,0,0,0
0,2023-05-24 14:29:53.495459,0,0,0,0
0,2023-05-24 14:29:53.564382,0,0,0,0
0,2023-05-24 14:29:53.633230,0,0,0,0
0,2023-05-24 14:29:53.701364,0,0,0,0
0,2023-05-24 14:29:53.770242,0,0,0,0
0,2023-05-24 14:29:53.838793,0,0,0,0
0,2023-05-24 14:29:53.907329,0,0,0,0
0,2023-05-24 14:29:53.976327,0,0,0,0
0,2023-05-24 14:29:54.044968,0,0,0,0
0,2023-05-24 14:29:54.113448,0,0,0,0
0,2023-05-24 14:29:54.182034,0,0,0,0
0,2023-05-24 14:29:54.250375,0,0,0,0
0,2023-05-24 14:29:54.318998,0,0,0,0
0,2023-05-24 14:29:54.387670,0,0,0,0
0,2023-05-24 14:29:54.456235,0,0,0,0
0,2023-05-24 14:29:54.524632,0,0,0,0
0,2023-05-24 14:29:54.592637,0,0,0,0
0,2023-05-24 14:29:54.661554,0,0,0,0
0,2023-05-24 14:29:54.730435,0,0,0,0
0,2023-05-24 14:29:54.798288,0,0,0,0
0,2023-05-24 14:29:54.866755,0,0,0,0
0,2023-05-24 14:29:54.935531,0,0,0,0
0,2023-05-24 14:29:55.003904,0,0,0,0
0,2023-05-24 14:29:55.072769,0,0,0,0
0,2023-05-24 14:29:55.141532,0,0,0,0
0,2023-05-24 14:29:55.210793,0,0,0,0
0,2023-05-24 14:29:55.278886,0,0,0,0
0,2023-05-24 14:29:55.347464,0,0,0,0
0,2023-05-24 14:29:55.415800,0,0,0,0
0,2023-05-24 14:29:55.484450,0,0,0,0
0,2023-05-24 14:29:55.553388,0,0,0,0
0,2023-05-24 14:29:55.622257,0,0,0,0
0,2023-05-24 14:29:55.690907,0,0,0,0
0,2023-05-24 14:29:55.759634,0,0,0,0
0,2023-05-24 14:29:55.827447,0,0,0,0
0,2023-05-24 14:29:55.895600,0,0,0,0
0,2023-05-24 14:29:55.964454,0,0,0,0
0,2023-05-24 14:29:56.032341,0,0,0,0
0,2023-05-24 14:29:56.100830,0,0,0,0
0,2023-05-24 14:29:56.168880,0,0,0,0
0,2023-05-24 14:29:56.237264,0,0,0,0
0,2023-05-24 14:29:56.304888,0,0,0,0
0,2023-05-24 14:29:56.373066,0,0,0,0
0,2023-05-24 14:29:56.441014,0,0,0,0
0,2023-05-24 14:29:56.509813,0,0,0,0
0,2023-05-24 14:29:56.578267,0,0,0,0
0,2023-05-24 14:29:56.646939,0,0,0,0
0,2023-05-24 14:29:56.715074,0,0,0,0
0,2023-05-24 14:29:56.783886,0,0,0,0
0,2023-05-24 14:29:56.852711,0,0,0,0
0,2023-05-24 14:29:56.921245,0,0,0,0
0,2023-05-24 14:29:56.989457,0,0,0,0
0,2023-05-24 14:29:57.057516,0,0,0,0
0,2023-05-24 14:29:57.126068,0,0,0,0
0,2023-05-24 14:29:57.194457,0,0,0,0
0,2023-05-24 14:29:57.262998,0,0,0,0
0,2023-05-24 14:29:57.331615,0,0,0,0
0,2023-05-24 14:29:57.399708,0,0,0,0
0,2023-05-24 14:29:57.467968,0,0,0,0
0,2023-05-24 14:29:57.536705,0,0,0,0
0,2023-05-24 14:29:57.605793,0,0,0,0
0,2023-05-24 14:29:57.674065,0,0,0,0
0,2023-05-24 14:29:57.742995,0,0,0,0
0,2023-05-24 14:29:57.811271,0,0,0,0
