execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,bitrate,success,within_time,distance
7,2023-05-31 15:00:01.902557,83.3,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:01.910777,84.6,46.9,102240,30,3067200,True,True,10
7,2023-05-31 15:00:01.919003,84.6,46.9,102240,30,3067200,True,True,7
8,2023-05-31 15:00:01.927275,84.6,46.9,102240,30,3067200,True,True,9
8,2023-05-31 15:00:01.935750,84.6,46.9,102240,30,3067200,True,True,10
8,2023-05-31 15:00:01.944082,84.6,46.9,102240,30,3067200,True,True,12
7,2023-05-31 15:00:01.952361,84.6,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:01.960756,84.6,46.9,102240,30,3067200,True,True,6
8,2023-05-31 15:00:01.969307,88.2,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:01.977730,84.6,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:01.986194,84.6,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:01.996095,92.9,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.004655,84.6,46.9,102240,30,3067200,True,True,10
8,2023-05-31 15:00:02.013196,88.9,46.9,102240,30,3067200,True,True,6
8,2023-05-31 15:00:02.021727,83.3,46.9,102240,30,3067200,True,True,7
8,2023-05-31 15:00:02.030015,84.6,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.038259,84.6,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.046597,76.9,46.9,102240,30,3067200,True,True,7
7,2023-05-31 15:00:02.054760,84.6,46.9,102240,30,3067200,True,True,8
8,2023-05-31 15:00:02.063279,84.6,46.9,102240,30,3067200,True,True,9
8,2023-05-31 15:00:02.071814,84.6,46.9,102240,30,3067200,True,True,5
7,2023-05-31 15:00:02.080026,84.6,46.9,102240,30,3067200,True,True,3
7,2023-05-31 15:00:02.088273,84.6,46.9,102240,30,3067200,True,True,3
8,2023-05-31 15:00:02.096601,84.6,46.9,102240,30,3067200,True,True,5
8,2023-05-31 15:00:02.105375,89.5,46.9,102240,30,3067200,True,True,3
7,2023-05-31 15:00:02.113577,83.3,46.9,102240,30,3067200,True,True,4
7,2023-05-31 15:00:02.121812,84.6,46.9,102240,30,3067200,True,True,3
7,2023-05-31 15:00:02.130016,84.6,46.9,102240,30,3067200,True,True,3
8,2023-05-31 15:00:02.138307,84.6,46.9,102240,30,3067200,True,True,3
8,2023-05-31 15:00:02.146964,83.3,46.9,102240,30,3067200,True,True,2
8,2023-05-31 15:00:02.155341,78.6,46.9,102240,30,3067200,True,True,3
8,2023-05-31 15:00:02.163880,84.6,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:02.172101,85.7,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.180637,83.3,46.9,102240,30,3067200,True,True,17
10,2023-05-31 15:00:02.191877,88.9,46.9,102240,30,3067200,True,True,17
9,2023-05-31 15:00:02.202113,85.0,46.9,102240,30,3067200,True,True,17
8,2023-05-31 15:00:02.211127,84.6,46.9,102240,30,3067200,True,True,21
9,2023-05-31 15:00:02.220892,84.2,46.9,102240,30,3067200,True,True,19
8,2023-05-31 15:00:02.229830,83.3,46.9,102240,30,3067200,True,True,12
8,2023-05-31 15:00:02.238232,84.6,46.9,102240,30,3067200,True,True,13
8,2023-05-31 15:00:02.247325,78.6,46.9,102240,30,3067200,True,True,13
8,2023-05-31 15:00:02.255921,84.6,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.264694,83.3,46.9,102240,30,3067200,True,True,5
8,2023-05-31 15:00:02.273486,88.9,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.282686,78.6,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.291576,84.6,46.9,102240,30,3067200,True,True,13
8,2023-05-31 15:00:02.300335,84.6,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.309193,89.5,46.9,102240,30,3067200,True,True,15
8,2023-05-31 15:00:02.318037,84.6,46.9,102240,30,3067200,True,True,15
8,2023-05-31 15:00:02.327046,83.3,46.9,102240,30,3067200,True,True,13
8,2023-05-31 15:00:02.335576,78.6,46.9,102240,30,3067200,True,True,17
8,2023-05-31 15:00:02.344465,84.6,46.9,102240,30,3067200,True,True,11
9,2023-05-31 15:00:02.354079,89.5,46.9,102240,30,3067200,True,True,15
8,2023-05-31 15:00:02.362796,78.6,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.371419,84.6,46.9,102240,30,3067200,True,True,3
8,2023-05-31 15:00:02.380128,84.6,46.9,102240,30,3067200,True,True,3
8,2023-05-31 15:00:02.388968,89.5,46.9,102240,30,3067200,True,True,2
8,2023-05-31 15:00:02.397718,84.6,46.9,102240,30,3067200,True,True,3
8,2023-05-31 15:00:02.406423,84.6,46.9,102240,30,3067200,True,True,3
8,2023-05-31 15:00:02.415400,78.6,46.9,102240,30,3067200,True,True,2
8,2023-05-31 15:00:02.423970,83.3,46.9,102240,30,3067200,True,True,2
8,2023-05-31 15:00:02.432745,85.7,46.9,102240,30,3067200,True,True,5
8,2023-05-31 15:00:02.441370,88.2,46.9,102240,30,3067200,True,True,2
8,2023-05-31 15:00:02.450587,84.6,46.9,102240,30,3067200,True,True,4
8,2023-05-31 15:00:02.459071,84.6,46.9,102240,30,3067200,True,True,4
8,2023-05-31 15:00:02.467493,84.6,46.9,102240,30,3067200,True,True,7
7,2023-05-31 15:00:02.475833,83.3,46.9,102240,30,3067200,True,True,9
8,2023-05-31 15:00:02.484365,85.7,46.9,102240,30,3067200,True,True,10
8,2023-05-31 15:00:02.492899,85.0,46.9,102240,30,3067200,True,True,7
8,2023-05-31 15:00:02.501302,83.3,46.9,102240,30,3067200,True,True,10
7,2023-05-31 15:00:02.509529,83.3,46.9,102240,30,3067200,True,True,7
8,2023-05-31 15:00:02.517869,84.6,46.9,102240,30,3067200,True,True,10
8,2023-05-31 15:00:02.526406,83.3,46.9,102240,30,3067200,True,True,11
8,2023-05-31 15:00:02.534700,84.6,46.9,102240,30,3067200,True,True,12
7,2023-05-31 15:00:02.542947,85.7,46.9,102240,30,3067200,True,True,5
8,2023-05-31 15:00:02.551875,84.6,46.9,102240,30,3067200,True,True,10
7,2023-05-31 15:00:02.559893,84.6,46.9,102240,30,3067200,True,True,9
9,2023-05-31 15:00:02.569767,88.9,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.577459,85.7,46.9,102240,30,3067200,True,True,11
7,2023-05-31 15:00:02.585102,90.9,46.9,102240,30,3067200,True,True,12
7,2023-05-31 15:00:02.592535,71.4,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:02.600263,91.7,46.9,102240,30,3067200,True,True,11
