delta,timestamp
14,2022-02-07 22:49:14.608528
12,2022-02-07 22:49:14.622508
11,2022-02-07 22:49:14.654506
11,2022-02-07 22:49:14.685515
17,2022-02-07 22:49:14.724508
11,2022-02-07 22:49:14.756510
12,2022-02-07 22:49:14.789523
14,2022-02-07 22:49:14.827516
12,2022-02-07 22:49:14.864507
12,2022-02-07 22:49:14.892506
13,2022-02-07 22:49:14.927508
11,2022-02-07 22:49:14.960507
12,2022-02-07 22:49:14.995511
10,2022-02-07 22:49:15.028507
10,2022-02-07 22:49:15.062511
10,2022-02-07 22:49:15.097507
14,2022-02-07 22:49:15.139510
14,2022-02-07 22:49:15.173508
16,2022-02-07 22:49:15.207510
26,2022-02-07 22:49:15.253510
12,2022-02-07 22:49:15.279521
14,2022-02-07 22:49:15.310509
13,2022-02-07 22:49:15.342507
11,2022-02-07 22:49:15.376508
11,2022-02-07 22:49:15.411506
15,2022-02-07 22:49:15.449510
14,2022-02-07 22:49:15.484509
14,2022-02-07 22:49:15.517515
11,2022-02-07 22:49:15.547508
11,2022-02-07 22:49:15.579511
11,2022-02-07 22:49:15.613519
10,2022-02-07 22:49:15.655510
11,2022-02-07 22:49:15.691825
13,2022-02-07 22:49:15.734077
13,2022-02-07 22:49:15.770065
12,2022-02-07 22:49:15.795059
13,2022-02-07 22:49:15.818058
12,2022-02-07 22:49:15.831055
14,2022-02-07 22:49:15.857067
13,2022-02-07 22:49:15.871057
11,2022-02-07 22:49:15.896055
14,2022-02-07 22:49:15.927064
12,2022-02-07 22:49:15.962063
12,2022-02-07 22:49:16.000062
11,2022-02-07 22:49:16.035055
11,2022-02-07 22:49:16.079110
11,2022-02-07 22:49:16.107058
11,2022-02-07 22:49:16.127065
11,2022-02-07 22:49:16.149062
10,2022-02-07 22:49:16.169053
10,2022-02-07 22:49:16.206055
12,2022-02-07 22:49:16.243062
11,2022-02-07 22:49:16.275057
11,2022-02-07 22:49:16.310882
11,2022-02-07 22:49:16.344880
12,2022-02-07 22:49:16.379939
11,2022-02-07 22:49:16.409882
11,2022-02-07 22:49:16.445881
12,2022-02-07 22:49:16.478888
11,2022-02-07 22:49:16.511943
12,2022-02-07 22:49:16.547883
13,2022-02-07 22:49:16.586910
12,2022-02-07 22:49:16.620898
11,2022-02-07 22:49:16.654080
11,2022-02-07 22:49:16.687122
11,2022-02-07 22:49:16.721123
10,2022-02-07 22:49:16.753831
12,2022-02-07 22:49:16.790403
11,2022-02-07 22:49:16.823403
12,2022-02-07 22:49:16.862464
15,2022-02-07 22:49:16.895405
13,2022-02-07 22:49:16.928413
13,2022-02-07 22:49:16.958409
12,2022-02-07 22:49:16.992465
12,2022-02-07 22:49:17.039401
9,2022-02-07 22:49:17.064451
10,2022-02-07 22:49:17.095401
13,2022-02-07 22:49:17.133411
11,2022-02-07 22:49:17.153425
11,2022-02-07 22:49:17.171403
13,2022-02-07 22:49:17.199403
10,2022-02-07 22:49:17.240400
12,2022-02-07 22:49:17.272402
11,2022-02-07 22:49:17.303421
10,2022-02-07 22:49:17.336401
10,2022-02-07 22:49:17.358401
11,2022-02-07 22:49:17.380405
14,2022-02-07 22:49:17.425405
12,2022-02-07 22:49:17.460406
12,2022-02-07 22:49:17.499409
10,2022-02-07 22:49:17.530401
13,2022-02-07 22:49:17.568409
13,2022-02-07 22:49:17.603403
12,2022-02-07 22:49:17.640410
11,2022-02-07 22:49:17.674400
10,2022-02-07 22:49:17.711578
10,2022-02-07 22:49:17.744014
11,2022-02-07 22:49:17.779396
12,2022-02-07 22:49:17.812587
11,2022-02-07 22:49:17.848271
14,2022-02-07 22:49:17.884287
12,2022-02-07 22:49:17.919277
14,2022-02-07 22:49:17.957270
12,2022-02-07 22:49:17.986268
11,2022-02-07 22:49:18.020270
10,2022-02-07 22:49:18.056268
12,2022-02-07 22:49:18.089269
13,2022-02-07 22:49:18.128269
11,2022-02-07 22:49:18.160268
13,2022-02-07 22:49:18.195326
11,2022-02-07 22:49:18.233270
11,2022-02-07 22:49:18.270286
10,2022-02-07 22:49:18.307270
13,2022-02-07 22:49:18.341456
13,2022-02-07 22:49:18.375455
12,2022-02-07 22:49:18.410453
13,2022-02-07 22:49:18.445454
12,2022-02-07 22:49:18.481451
12,2022-02-07 22:49:18.515451
14,2022-02-07 22:49:18.541453
12,2022-02-07 22:49:18.556452
15,2022-02-07 22:49:18.586453
