timestamp,pixel,fps,pv,ra,stream,device,congestion
2023-10-09 17:27:54.375135,360,14,1.0,0.93,5,Orin,1
2023-10-09 17:27:55.623382,360,14,1.0,1.0,5,Orin,1
2023-10-09 17:27:59.921484,420,18,1.0,0.94,5,Orin,1
2023-10-09 17:28:00.535054,420,18,0.94,1.0,5,Orin,1
2023-10-09 17:28:01.457352,420,18,0.94,1.0,5,Orin,1
2023-10-09 17:28:02.693025,360,18,0.94,0.94,5,Orin,1
2023-10-09 17:28:03.915280,360,18,1.0,0.94,5,Orin,1
2023-10-09 17:28:05.249294,420,18,1.0,0.83,5,Orin,1
2023-10-09 17:28:06.987970,360,18,1.0,0.83,5,Orin,1
2023-10-09 17:28:08.523917,360,18,1.0,0.83,5,Orin,1
2023-10-09 17:28:09.444087,360,18,1.0,0.94,5,Orin,1
2023-10-09 17:28:10.996986,420,18,1.0,0.94,5,Orin,1
2023-10-09 17:28:12.208556,420,18,1.0,0.94,5,Orin,1
2023-10-09 17:28:13.848774,420,18,1.0,0.94,5,Orin,1
2023-10-09 17:28:14.768237,420,18,1.0,1.0,5,Orin,1
2023-10-09 17:28:16.510355,420,18,0.94,0.89,5,Orin,1
2023-10-09 17:28:18.057253,420,18,1.0,0.83,5,Orin,1
2023-10-09 17:28:18.968285,360,18,1.0,0.94,5,Orin,1
2023-10-09 17:28:20.503749,360,18,1.0,0.89,5,Orin,1
2023-10-09 17:28:22.040603,360,18,1.0,0.89,5,Orin,1
2023-10-09 17:28:23.599865,360,18,1.0,0.83,5,Orin,1
2023-10-09 17:28:24.375177,360,18,1.0,0.89,5,Orin,1
2023-10-09 17:28:26.041166,360,18,0.94,0.89,5,Orin,1
2023-10-09 17:28:27.570355,360,18,1.0,0.83,5,Orin,1
2023-10-09 17:28:28.497370,360,18,1.0,0.89,5,Orin,1
2023-10-09 17:28:34.323836,360,18,1.0,0.89,5,Orin,1
2023-10-09 17:28:34.840978,360,18,1.0,1.0,5,Orin,1
2023-10-09 17:28:36.178658,360,18,1.0,0.89,5,Orin,1
2023-10-09 17:28:37.707151,360,18,1.0,0.94,5,Orin,1
